Вопрос;Категория
Ошибка загрузки файла YML;Ошибки сайта
Отправлено приглашение Заказчику, ошибка: 'заказчик не в ЭДО';Ошибки сайта
При формировании или обновлении УПД появляется сообщение об ошибке;Ошибки сайта
После частичного выполнения обязательств по контракту поставщик осуществил попытку формирования УПД, после чего в система появлялось автоматическое сообщение «Ошибка валидации».;Ошибки сайта
При заполнении УПД возникает ошибка в поле 'КОЛИЧЕСТВО'.;Ошибки сайта
Ошибка: Не указано ни одного счета с отметкой «Счет используется в контрактной системе»;Ошибки сайта
Ошибка при обновлении УПД;Ошибки сайта
Ошибка: Не указано ни одного счета с отметкой «Счет используется в контрактной системе»;Ошибки сайта
При сохранении спецификации исполнения по контракту малого объема возникает ошибка: Не заполнено поле «Сумма штрафа/пени по исполнению контракта»;Ошибки сайта
Что делать , если появляется ошибка 'Операция завершена с ошибкой' , 'При загрузке характеристик произошла ошибка' при попытке выбрать вид товара/работы/услуги в создаваемой котировочной сессии на Портале поставщиков?;Ошибки сайта
Что делать , если появляется ошибка 'Операция завершена с ошибкой' , 'При загрузке характеристик произошла ошибка' при попытке выбрать вид товара/работы/услуги в создаваемой котировочной сессии на Портале поставщиков?;Ошибки сайта
Ошибка при вводе контактного телефона;Ошибки сайта
Как обновить данные из контракта ГИС ЕИС для устранения ошибки РДИК_ИК_0008;Ошибки сайта
Как исправить ошибку РДИК_ИК_0005, если поставщик ИП?;Ошибки сайта
При регистрации возникает ошибка 'Этот логин уже используется другим пользователем. Пожалуйста, выберите другой';Ошибки сайта
При прикреплении электронной подписи возникает ошибка 'Этот сертификат уже используется другим пользователем';Ошибки сайта
При прикреплении электронной подписи возникает ошибка 'Этот сертификат уже используются другим пользователем';Ошибки сайта
При подаче заявки на регистрацию компании возникает ошибка «Не заполнены поля «Банковский идентификационный код» и «Расчетный счет»;Ошибки сайта
При авторизации по электронной подписи возникает ошибка: «Ошибка вычисления подписи»;Ошибки сайта
При авторизации по электронной подписи возникает ошибка «Нет установленных сертификатов»;Ошибки сайта
При авторизации по электронной подписи возникает ошибка: «Не найден пользователь с указанным сертификатом»;Ошибки сайта
При смене электронной почты появляется ошибка 'Этот E-mail уже используется другим пользователем. Пожалуйста, выберите другой';Ошибки сайта
При авторизации по электронной подписи появляется ошибка: «Сертификат не зарегистрирован»;Ошибки сайта
При подписании оферты возникает ошибка;Ошибки сайта
Появляется ошибка при подаче поставщиком предложения в закупке по потребности;Ошибки сайта
Подписание контракта после отказа от заключения со стороны заказчика.;Работа с контрактами
Участие в котировочной сессии;Работа с контрактами
Страница контракта организации;Работа с контрактами
Определение победителя и заключение контракта с победителем закупки с неизвестным объемом;Работа с контрактами
Создание и публикация закупки с неизвестным объемом (по цене за единицу продукции);Работа с контрактами
Уведомления о наступающих сроках исполнения этапа;Работа с контрактами
Уведомление «Есть ограничения»;Работа с контрактами
Заявка в статусе 'Черновик', сколько ждать рассмотрения заявки?;Работа с контрактами
Расторжение контракта;Работа с контрактами
Товары и оферты;Работа с контрактами
Исполнение контракта;Работа с контрактами
Расторжение контракта;Работа с контрактами
Подписание контракта;Работа с контрактами
Регистрация контракта на бумажном носителе;Работа с контрактами
Работа с контрактами, Мои контракты;Работа с контрактами
Страница исполнения контракта (Регистрация);Работа с контрактами
Контракт сформирован ошибочно или нарушен процесс обмена данным об УПД между ЕИС и Порталом поставщиков;Работа с контрактами
Некорректно указана дата заключения контракта;Работа с контрактами
Некорректно указана дата окончания периода действия контракта;Работа с контрактами
Изменить предмет контракта у регионального заказчика.;Работа с контрактами
Отсутствуют электронные подписи сторон в заключенном контракте.;Работа с контрактами
Отказ от заключения контракта;Работа с контрактами
Контракт не появился из внешней/региональной информационной системы;Работа с контрактами
Как заполнить раздел «Статистические коды» при подаче заявки на регистрацию компании?;Справочная информация и поддержка
Где можно найти виджеты Портала поставщиков?;Справочная информация и поддержка
Как присоединиться к тематической странице/группе в социальной сети о Портале поставщиков?;Справочная информация и поддержка
Как добавить характеристики, если их нет в выпадающем списке;Справочная информация и поддержка
Отображение оферты;Справочная информация и поддержка
Удаление оферты;Справочная информация и поддержка
Статус оферты 'Ввод сведений';Справочная информация и поддержка
Внесение изменений в оферту;Справочная информация и поддержка
Как выбрать категорию продукции?;Справочная информация и поддержка
Как найти заявку СТЕ?;Справочная информация и поддержка
Типы характеристик и как их заполнять?;Справочная информация и поддержка
Как на Портале поставщиков пользователю ознакомиться с карточкой поставщика/ карточкой заказчика своей организации?;Справочная информация и поддержка
Как на Портале поставщиков ознакомиться с информацией по регионам?;Справочная информация и поддержка
Оферта в статусе 'Ввод сведений' после заявки на СТЕ;Справочная информация и поддержка
Действия после отправки заявки на добавление СТЕ;Справочная информация и поддержка
При каких условиях в оферте возможна прямая закупка?;Справочная информация и поддержка
Как определяется срок действия оферты?;Справочная информация и поддержка
В каком формате загружать прайс-листы?;Справочная информация и поддержка
Требования к изображению в прайс-листе;Справочная информация и поддержка
Что такое 'Количественные характеристики'?;Справочная информация и поддержка
Что такое 'Качественные характеристики';Справочная информация и поддержка
Как изменить/продлить срок действия оферты?;Справочная информация и поддержка
Какие полномочия должны быть присвоены пользователю для подачи заявки на изменение данных компании на Портале поставщиков?;Справочная информация и поддержка
Что такое 'Артикул' в оферте?;Справочная информация и поддержка
Что такое шаблон СТЕ?;Справочная информация и поддержка
Кто является Уполномоченным органом по нашему региону?;Справочная информация и поддержка
Кто рассматривает заявки на регистрацию региональных заказчиков на Портале поставщиков?;Справочная информация и поддержка
Какие существуют требования к поставляем товарам/работам/услугам?;Справочная информация и поддержка
Что значит уведомление 'Права ограничены'?;Справочная информация и поддержка
Кто может быть поставщиком на Портале поставщиков?;Справочная информация и поддержка
Что делать московскому заказчику, если в ЕАИСТ котировочная сессия отменена, а на Портале поставщиков активна?;Справочная информация и поддержка
Видео;Справочная информация и поддержка
Термины и сокращения;Справочная информация и поддержка
Вход на главную страницу портала;Справочная информация и поддержка
Отправлено приглашение Заказчику по установки связи по ЭДО;Справочная информация и поддержка
Отказ в подписании контракта;Справочная информация и поддержка
Надо ли регистрироваться в ЭДО на каждом контракте?;Справочная информация и поддержка
Когда работа Поставщика с контрактом закончена? Cтатус контракта исполнен, документы не подгружены, cвязь с заказчиком отклонена/в процессе;Справочная информация и поддержка
Заказчик просит выслать УПД повторно;Справочная информация и поддержка
Карта сайта;Справочная информация и поддержка
Главная страница Портала Поставщиков на других языках;Справочная информация и поддержка
Страница исполнения контракта (Этап поставки);Справочная информация и поддержка
Уведомления о наступающих сроках исполнения этапа;Справочная информация и поддержка
Мои оферты;Справочная информация и поддержка
Поиск оферт по СТЕ;Справочная информация и поддержка
Реестр жалоб поставщика при автоматической блокировке;Справочная информация и поддержка
Проверка записи в реестре недобросовестных поставщиков (подрядчиков, исполнителей);Справочная информация и поддержка
Способы формирования YML прайс-листа;Справочная информация и поддержка
Основные блоки, которые должен содержать YML прайс-лист;Справочная информация и поддержка
Пример YML-формата для массовой загрузки прайс-листов;Справочная информация и поддержка
Описание типов данных, используемых при определении полей документов;Справочная информация и поддержка
Вопросы и ответы;Справочная информация и поддержка
Создание и публикация закупки по потребностям;Справочная информация и поддержка
Публикация потребности с помощью сервиса интеграционного взаимодействия.;Справочная информация и поддержка
Закупка с неизвестным объемом (по цене за единицу продукции);Справочная информация и поддержка
Способы создания оферт и СТЕ;Справочная информация и поддержка
Публичная страница контракта;Справочная информация и поддержка
Подача предложений для опубликованной закупки по потребности;Справочная информация и поддержка
Страница плана-графика закупок;Справочная информация и поддержка
Страница плана закупок;Справочная информация и поддержка
Страница оферты;Справочная информация и поддержка
Знакомство с Порталом поставщиков;Справочная информация и поддержка
Элементы интерфейса и условные обозначения;Справочная информация и поддержка
История блокировок организации;Справочная информация и поддержка
Разблокировка организации;Справочная информация и поддержка
Блокировка организации;Справочная информация и поддержка
Описание общего процесса функционирования портала;Справочная информация и поддержка
Назначение подсистемы и краткое описание возможностей;Справочная информация и поддержка
Аварийные ситуации;Справочная информация и поддержка
Создание обращения в службу технической поддержки;Справочная информация и поддержка
Центр поддержки пользователей;Справочная информация и поддержка
Информационный блок «Как стать поставщиком»;Справочная информация и поддержка
Как найти каталог товаров (СТЕ)?;Справочная информация и поддержка
Карточки закупок в едином реестре;Справочная информация и поддержка
Управление рассылками;Справочная информация и поддержка
Требования к ссылкам и изображениям;Справочная информация и поддержка
Требования к изображениям;Справочная информация и поддержка
Требования к YML-файлу и способы формирования YML прайс-листа;Справочная информация и поддержка
Структура YML файла, его основные блоки;Справочная информация и поддержка
Элемент categories;Справочная информация и поддержка
Элемент offers;Справочная информация и поддержка
Элемент delivery-options;Справочная информация и поддержка
Элемент picture;Справочная информация и поддержка
Элемент param;Справочная информация и поддержка
XSD-схема для массовой загрузки оферт;Справочная информация и поддержка
Описание типов данных, используемых при определении полей документов;Справочная информация и поддержка
Справочники Портала поставщиков;Справочная информация и поддержка
Состав элемента, входящего в shop;Справочная информация и поддержка
Элемент currencies;Справочная информация и поддержка
Ограничения по способам закупок на отдельные виды товаров, работ, услуг;Справочная информация и поддержка
Проверка записи в реестре недобросовестных поставщиков (подрядчиков, исполнителей);Справочная информация и поддержка
Страница закупки по потребностям;Справочная информация и поддержка
Предложения;Справочная информация и поддержка
Раздел 'Мои заявки';Справочная информация и поддержка
В каких случаях право может перейти следующему за победителем участнику котировочной сессии;Справочная информация и поддержка
Раздел 'Моя корзина';Справочная информация и поддержка
Определение победителя в котировочной сессии;Справочная информация и поддержка
Единый реестр закупок;Справочная информация и поддержка
Как посмотреть закупки, размещенные на ЕИС?;Справочная информация и поддержка
Интерактивная карта регионов;Справочная информация и поддержка
Карта сайта;Справочная информация и поддержка
Страница товара (СТЕ);Справочная информация и поддержка
Раздел «Мои контракты»;Справочная информация и поддержка
Мои документы;Справочная информация и поддержка
Раздел 'Моя корзина';Справочная информация и поддержка
Центр поддержки пользователей;Справочная информация и поддержка
Главное меню портала (всплывающее);Справочная информация и поддержка
Требования к программному и техническому обеспечению и уровню подготовки пользователя;Справочная информация и поддержка
Реестр планов закупок и планов-графиков закупок;Справочная информация и поддержка
Поиск планов и планов-графиков закупок;Справочная информация и поддержка
Публичный реестр контрактов;Справочная информация и поддержка
Что такое 'Срок действия предложения' в закупке по потребности?;Справочная информация и поддержка
Публичная страница контракта;Справочная информация и поддержка
Реестр поставщиков;Справочная информация и поддержка
Страница поставщика;Справочная информация и поддержка
Реестр заказчиков;Справочная информация и поддержка
Страница заказчика;Справочная информация и поддержка
Список аккредитованных удостоверяющих центров;Справочная информация и поддержка
Как на Портале поставщиков ознакомиться с карточкой поставщика?;Справочная информация и поддержка
Как на Портале поставщиков ознакомиться с профилем заказчика?;Справочная информация и поддержка
Как на Портале поставщиков ознакомиться с реестром поставщиков?;Справочная информация и поддержка
Как на Портале поставщиков ознакомиться с реестром поставщиков?;Справочная информация и поддержка
Как на Портале поставщиков ознакомиться с реестром заказчиков?;Справочная информация и поддержка
Как пользователю ознакомиться с публичным профилем своей организации?;Справочная информация и поддержка
Как на Портале поставщиков ознакомиться с информацией о регионах?;Справочная информация и поддержка
Что такое шаблон стандартной товарной единицы (СТЕ)?;Справочная информация и поддержка
Как найти потребность на Портале поставщиков?;Справочная информация и поддержка
Электронное исполнение;Справочная информация и поддержка
Руководство пользователя по электронному исполнению контракта;Справочная информация и поддержка
Руководство пользователя для покупателя (ПТК);Справочная информация и поддержка
Как в Исполнении контрактов, электронно актируемых через ЕИС, указать КПП крупнейшем налогоплательщике, и что делать, если у организации 2 и более КПП;Справочная информация и поддержка
Что делать по Исполнениям контрактов, электронно актируемых через ЕИС,если контракт сформирован ошибочно или нарушен процесс обмена данным об УПД между ЕИС и Порталом поставщиков;Справочная информация и поддержка
Тестовая статья;Справочная информация и поддержка
Как создать закупку из корзины?;Справочная информация и поддержка
Публикация информации о Портале в выбранной социальной сети;Справочная информация и поддержка
Создание обращения в службу технической поддержки;Справочная информация и поддержка
Какая электронная подпись используется на Портале поставщиков?;Справочная информация и поддержка
Проверить статус обращения в службу технической поддержки;Справочная информация и поддержка
Кто может являться заказчиком на Портале поставщиков?;Справочная информация и поддержка
Руководство пользователя для производителя (ПТК);Справочная информация и поддержка
Кто является Уполномоченным органом по нашему региону?;Справочная информация и поддержка
Что такое оферта?;Справочная информация и поддержка
В каких случаях победа переходит ко второму участнику котировочной сессии?;Справочная информация и поддержка
Как осуществляется прямая закупка на Портале поставщиков?;Справочная информация и поддержка
Кто может быть поставщиком на Портале поставщиков?;Справочная информация и поддержка
Сколько оферт можно подписать за один раз?;Справочная информация и поддержка
Правила заполнения полей статистических кодов ОКТМО и ОКАТО при подаче заявки на регистрацию/изменение данных компании на Портале поставщиков;Справочная информация и поддержка
Нужно ли прикладывать МЧД при подписании документов физическим лицом?;Справочная информация и поддержка
Нужно ли мне прикреплять свою МЧД, если я генеральный директор фирмы и у меня своя ЭП?;Справочная информация и поддержка
Нужно ли мне прикреплять свою МЧД, если я индивидуальный предприниматель и у меня своя ЭЦП?;Справочная информация и поддержка
Нужно ли при формировании оферты, подписании контракта и УПД прикреплять МЧД?;Справочная информация и поддержка
Нужно ли срочно выпускать новую квалифицированную электронную подпись без МЧД?;Справочная информация и поддержка
Нужно ли срочно перевыпускать квалифицированную электронную подпись с МЧД, если есть действующая?;Справочная информация и поддержка
Что такое МЧД?;Справочная информация и поддержка
тест знания;Справочная информация и поддержка
тест знания;Справочная информация и поддержка
Тест;Справочная информация и поддержка
Список аккредитованных Удостоверяющих центров;Справочная информация и поддержка
Требования к рабочему месту пользователя уполномоченного органа;Справочная информация и поддержка
Что должна содержать МЧД?;Справочная информация и поддержка
Поставщик не выходит на связь после победы в котировочной сессии?;Справочная информация и поддержка
Определение победителя и заключение контракта с поставщиком, подавшим предложение в закупке по потребности;Справочная информация и поддержка
Статья;Справочная информация и поддержка
Как получить статус производителя?;Справочная информация и поддержка
Как проверить подлинность сертификата электронной подписи?;Справочная информация и поддержка
Какой пароль вводить при смене электронной подписи?;Справочная информация и поддержка
Нужна ли МЧД руководителю, генеральному директору или директору?;Справочная информация и поддержка
Как заполнить раздел «Контактная информация» в профиле компании в случае отсутствия сайта?;Справочная информация и поддержка
Нужна ли МЧД руководителю, генеральному директору или директору?;Справочная информация и поддержка
Нужна ли МЧД директору филиала?;Справочная информация и поддержка
Нужна ли МЧД физическому лицу?;Справочная информация и поддержка
Нужна ли МЧД индивидуальному предпринимателю?;Справочная информация и поддержка
Где и как сформировать МЧД?;Справочная информация и поддержка
Какие полномочия должны быть в МЧД для работы на Портале?;Справочная информация и поддержка
При каких действиях на Портале поставщиков требуется МЧД и кому?;Справочная информация и поддержка
Что должна содержать МЧД?;Справочная информация и поддержка
Какие отличия между сертификатами электронной подписи физического, юридического лица, а также индивидуального предпринимателя?;Справочная информация и поддержка
Как проверить статус обращения в службу технической поддержки?;Справочная информация и поддержка
Как проверить статус обращения, направленного в службу технической поддержки?;Справочная информация и поддержка
Кто является администратором компании?;Справочная информация и поддержка
Как изменить единицу измерения в оферте;Стандартные товарные единицы (СТЕ)
Отображение оферт по результатам Котировочной сессии в открытом доступе;Стандартные товарные единицы (СТЕ)
Единица измерения СТЕ;Стандартные товарные единицы (СТЕ)
Как поменять КПГЗ в стандартной товарной единице (СТЕ)?;Стандартные товарные единицы (СТЕ)
Сколько характеристик нужно для СТЕ?;Стандартные товарные единицы (СТЕ)
Единицы измерения при формировании оферты;Стандартные товарные единицы (СТЕ)
Раздел 'Полученные заявки' на прямую закупку;Стандартные товарные единицы (СТЕ)
Раздел 'Уведомления';Стандартные товарные единицы (СТЕ)
Каталог товаров (СТЕ);Стандартные товарные единицы (СТЕ)
Каталог товаров (СТЕ);Стандартные товарные единицы (СТЕ)
Поиск СТЕ;Стандартные товарные единицы (СТЕ)
Поиск стандартной товарной единицы (СТЕ);Стандартные товарные единицы (СТЕ)
Товары (СТЕ);Стандартные товарные единицы (СТЕ)
Код КПГЗ в оферте отличается от СТЕ;Стандартные товарные единицы (СТЕ)
Какой срок рассмотрения заявок на создание новой позиции СТЕ или внесение изменений в действующую позицию СТЕ?;Стандартные товарные единицы (СТЕ)
Как узнать причину отклонения заявки на новую позицию СТЕ?;Стандартные товарные единицы (СТЕ)
Как отправить СТЕ в архив?;Стандартные товарные единицы (СТЕ)
Что такое СТЕ?;Стандартные товарные единицы (СТЕ)
Куда обращаться при отклонении СТЕ?;Стандартные товарные единицы (СТЕ)
Кто на Портале утверждает заявки на СТЕ?;Стандартные товарные единицы (СТЕ)
Как указать несколько регионов при создании СТЕ;Стандартные товарные единицы (СТЕ)
Наличие связи СТЕ-КТРУ. Актуализация СТЕ при внесении изменений в КТРУ.;Стандартные товарные единицы (СТЕ)
Наличие связи СТЕ-КТРУ. Актуализация СТЕ при внесении изменений в КТРУ.;Стандартные товарные единицы (СТЕ)
О соответствии условий и наименований;Стандартные товарные единицы (СТЕ)
О наименовании медицинских изделий;Стандартные товарные единицы (СТЕ)
Кто утверждает новую СТЕ или вносит изменения в действующую позицию СТЕ?;Стандартные товарные единицы (СТЕ)
Как отозвать отправленную на рассмотрение заявку на СТЕ?;Стандартные товарные единицы (СТЕ)
Как ускорить срок рассмотрения заявки на создание новой позиции СТЕ или внесение изменений в действующую позицию СТЕ?;Стандартные товарные единицы (СТЕ)
Как отредактировать характеристики в возвращенной на доработку СТЕ?;Стандартные товарные единицы (СТЕ)
Заявка отклонена с причиной «Предложена другая СТЕ»?;Стандартные товарные единицы (СТЕ)
Как заполнить наименование;Стандартные товарные единицы (СТЕ)
Заполнение характеристик СТЕ;Стандартные товарные единицы (СТЕ)
Поля в заявке на создание СТЕ;Стандартные товарные единицы (СТЕ)
Какие изображения должны быть в СТЕ?;Стандартные товарные единицы (СТЕ)
Как заполнять наименование СТЕ?;Стандартные товарные единицы (СТЕ)
Настройка MS Word перед работой;Технические вопросы и настройки
Новая версия опубликованного шаблона;Технические вопросы и настройки
Разблокировка пользователя;Технические вопросы и настройки
