"Вопрос","Категория"
"Сколько характеристик нужно для СТЕ?","Редактирование оферты/СТЕ"
"Что такое ""Артикул"" в оферте?","Редактирование оферты/СТЕ"
"Что такое шаблон СТЕ?","Редактирование оферты/СТЕ"
"Не можем создать оферту, нет кнопки","Техническая ошибка"
"Заявка на регистрацию компании/ изменение данных компании находится в статусе «Черновик».","Статусы заявок"
"Заявка на регистрацию компании/ изменение данных компании находится в статусе «Требуется уточнение».","Статусы заявок"
"Заявка на регистрацию регионального заказчика на Портале поставщиков рассматривается более суток.","Статусы заявок"
"Единицы измерения при формировании оферты","Редактирование оферты/СТЕ"
"Несколько услуг по одной оферте, комплексная оферта","Редактирование оферты/СТЕ"
"При создании СТЕ отсутствует поле ""Описание""","Техническая ошибка"
"При создании СТЕ в поле ""Регион поставки"" не отображается нужный город/населенный пункт","Техническая ошибка"
"Заявка в статусе ""Редактирование"", сколько ждать рассмотрения заявки","Статусы заявок"
"Как изменить ФЗ (закон-основание) в оферте?","Редактирование оферты/СТЕ"
"Где взять артикул","Редактирование оферты/СТЕ"
"Заказчик не видит оферту, созданную по результатам КС","Техническая ошибка"
"Ошибка при подписании оферты (Ошибка инициализации объекта хэша)","Техническая ошибка"
"Ошибка при подписания оферты (ошибка вычисления подписи)","Техническая ошибка"
"Как указать НДС, если мы работаем без НДС","Редактирование оферты/СТЕ"
"Сколько оферт можно подписать за один раз","Редактирование оферты/СТЕ"
"Возможно ли массовое подписание оферт на Портале Поставщиков?","Редактирование оферты/СТЕ"
"Как вернуть оферту из архива?","Редактирование оферты/СТЕ"
"СТЕ подтверждена, а у оферты номер не появился","Техническая ошибка"
"Какое полномочие должно быть присвоено пользователю для работы на Портале поставщиков в качестве Уполномоченного органа ?","Управление пользователями"
"Как пользователю присвоить полномочие «Региональный администратор» для работы на Портале поставщиков в качестве Уполномоченного органа?","Управление пользователями"
"Как присвоить полномочия пользователю компании в профиле Уполномоченного органа?","Управление пользователями"
"Как ознакомиться со статистикой региона профиле Уполномоченного органа?","Просмотр информации"
"Как утвердить заявку на регистрацию организации в качестве заказчика на Портале поставщиков в профиле Уполномоченного органа?","Регистрация организации"
"Как отклонить заявку на регистрацию организации в качестве заказчика на Портале поставщиков в профиле Уполномоченного органа?","Регистрация организации"
"При отправке заявки на регистрацию компании в роли заказчика на Портале поставщиков возникает ошибка: «ИНН компании на регистрацию не совпадает с ИНН из ЭЦП».","Техническая ошибка"
"Как создать карточку новой компании на Портале поставщиков в профиле Уполномоченного органа?","Регистрация организации"
"Как создать карточку нового пользователя на Портале поставщиков в профиле Уполномоченного органа?","Управление пользователями"
"Как заблокировать компанию на Портале поставщиков в профиле Уполномоченного органа?","Управление пользователями"
"Как разблокировать компанию на Портале поставщиков в профиле Уполномоченного органа?","Управление пользователями"
"Как посмотреть историю блокировок компании на Портале поставщиков в профиле Уполномоченного органа?","Управление пользователями"
"Как заблокировать пользователя компании на Портале поставщиков в профиле Уполномоченного органа?","Управление пользователями"
"Как разблокировать пользователя компании на Портале поставщиков в профиле Уполномоченного органа?","Управление пользователями"
"Как посмотреть историю блокировок пользователя компании на Портале поставщиков в профиле Уполномоченного органа?","Управление пользователями"
"Кто является Уполномоченным органом по нашему региону?","Управление пользователями"
"Кто рассматривает заявки на регистрацию региональных заказчиков на Портале поставщиков?","Регистрация организации"
"Как объединить профили организации?","Управление пользователями"
"Какие существуют требования к поставляем товарам/работам/услугам?","Редактирование оферты/СТЕ"
"Как перенести пользователя из одного профиля в другой?","Управление пользователями"
"Контракт подписан, но в региональной системе его не видно.","Техническая ошибка"
"Расторжение контракта","Заключение контракта"
"Что значит уведомление ""Права ограничены""?","Уведомления"
"Не могу редактировать оферту по КС","Редактирование оферты/СТЕ"
"Отображение оферты по результатам котировочной сессии для Заказчика","Просмотр информации об оферте"
"Кто может быть поставщиком на Портале поставщиков?","Регистрация организации"
"Как войти на Портал поставщиков после смены владельца сертификата электронной подписи?","Авторизация"
"Что делать московскому заказчику, если в ЕАИСТ котировочная сессия отменена, а на Портале поставщиков активна?","Участие в закупках"
"Не могу скачать документ контракта/не могу скачать документ контракта с подписью.","Техническая ошибка"
"Как изменить тип компании?","Регистрация организации"
"Как прикрепить электронную подпись?","Авторизация"
"Массовое архивирование оферт","Редактирование оферты/СТЕ"
"Видео","Технические вопросы"
"Личный кабинет компании","Просмотр информации"
"Термины и сокращения","Просмотр информации"
"Вход на главную страницу портала","Технические вопросы"
"Товары и оферты","Просмотр информации об оферте"
"Отправлено приглашение Заказчику по установки связи по ЭДО","Электронный документооборот"
"Заказчику не приходит УПД","Электронный документооборот"
"Отправлено приглашение Заказчику, ошибка: ""заказчик не в ЭДО""","Электронный документооборот"
"Просмотр и выгрузка документов контракта","Просмотр информации о контракте"
"Отказ в подписании контракта","Заключение контракта"
"Надо ли регистрироваться в ЭДО на каждом контракте?","Электронный документооборот"
"Как сформировать счет при электронном документообороте","Электронный документооборот"
"Наименования товара в исполнении контракта не соответствуют наименованиям в котировочной сессии","Техническая ошибка"
"Не добавляется исполнение","Техническая ошибка"
"Когда работа Поставщика с контрактом закончена? Cтатус контракта исполнен, документы не подгружены, cвязь с заказчиком отклонена/в процессе","Статусы контракта"
"Заказчик просит выслать УПД повторно","Электронный документооборот"
"Карта сайта","Просмотр информации"
"Главная страница Портала Поставщиков на других языках","Технические вопросы"
"Страница исполнения контракта (Этап поставки)","Просмотр информации о контракте"
"Уведомления о наступающих сроках исполнения этапа","Уведомления"
"Необходимые действия при сбое в работе Подсистемы","Технические вопросы"
"Несанкционированное вмешательство в Подсистему","Технические вопросы"
"Мои оферты","Просмотр информации об оферте"
"Поиск оферт по СТЕ","Поиск информации"
"Создание оферты","Редактирование оферты/СТЕ"
"Обновление прайс-листов","Работа с файлами"
"Формирование протокола разногласий","Заключение контракта"
"Автоматическая блокировка поставщиков. Сроки и основания","Управление пользователями"
"Реестр жалоб поставщика при автоматической блокировке","Управление пользователями"
"Заполнение формы жалобы о необоснованной блокировке","Управление пользователями"
"Просмотр жалобы о необоснованной блокировке","Управление пользователями"
"Регистрация жалобы Арбитражной комиссией","Управление пользователями"
"Запрос дополнительной информации по жалобе о необоснованной блокировке поставщика","Управление пользователями"
"Проверка записи в реестре недобросовестных поставщиков (подрядчиков, исполнителей)","Управление пользователями"
"Способы формирования YML прайс-листа","Работа с файлами"
"Основные блоки, которые должен содержать YML прайс-лист","Работа с файлами"
"Пример YML-формата для массовой загрузки прайс-листов","Работа с файлами"
"Описание типов данных, используемых при определении полей документов","Работа с файлами"
"Вопросы и ответы","Просмотр информации"
"Публикация котировочной сессии","Участие в закупках"
"Мои котировочные сессии","Участие в закупках"
"Создание и публикация закупки по потребностям","Создание закупки"
"Публикация потребности с помощью сервиса интеграционного взаимодействия.","Создание закупки"
"Отмена и удаление закупки по потребности","Создание закупки"
"Закупка с неизвестным объемом (по цене за единицу продукции)","Создание закупки"
"Способы создания оферт и СТЕ","Редактирование оферты/СТЕ"
"Публичная страница контракта","Просмотр информации о контракте"
"Завершение котировочной сессии","Участие в закупках"
"Подача предложений для опубликованной закупки по потребности","Участие в закупках"
"Удаление поданного предложения","Участие в закупках"
"Раздел ""Полученные заявки"" на прямую закупку","Прямая закупка"
"Отправка ответа по заявке на прямую закупку","Прямая закупка"
"Страница плана-графика закупок","Просмотр информации"
"Страница плана закупок","Просмотр информации"
"Подключение электронной подписи","Авторизация"
"Исполнение контракта","Заключение контракта"
"Расторжение контракта","Заключение контракта"
"Страница оферты","Просмотр информации об оферте"
"Регистрация в качестве физического лица","Регистрация организации"
"Участие поставщика в котировочной сессии","Участие в закупках"
"Знакомство с Порталом поставщиков","Просмотр информации"
"Элементы интерфейса и условные обозначения","Просмотр информации"
"История блокировок организации","Управление пользователями"
"Категории и права пользователей","Управление пользователями"
"Разблокировка организации","Управление пользователями"
"Блокировка организации","Управление пользователями"
"Назначение ролей пользователю организации","Управление пользователями"
"История блокировок пользователя","Управление пользователями"
"Блокировка пользователя организации","Управление пользователями"
"Описание общего процесса функционирования портала","Просмотр информации"
"Назначение подсистемы и краткое описание возможностей","Просмотр информации"
"История изменения ролей","Управление пользователями"
"Аварийные ситуации","Технические вопросы"
"Создание обращения в службу технической поддержки","Технические вопросы"
"Создание новой организации","Регистрация организации"
"Панель управления пользователя","Просмотр информации"
"Регистрация Уполномоченного органа на Портала поставщиков","Регистрация организации"
"Раздел ""Уведомления""","Уведомления"
"Центр поддержки пользователей","Просмотр информации"
"Информационный блок «Как стать поставщиком»","Просмотр информации"
"Как найти каталог товаров (СТЕ)?","Поиск информации"
"Карточки закупок в едином реестре","Просмотр информации"
"Управление рассылками","Уведомления"
"Подтверждение уведомления о регистрации исполнения в ЭДО","Электронный документооборот"
"Профиль пользователя","Просмотр информации"
"Добавление и блокировка пользователей организации","Управление пользователями"
"Подписание контракта","Заключение контракта"
"Работа с задачами","Просмотр информации"
"Работа с уведомлениями","Уведомления"
"Требования к ссылкам и изображениям","Работа с файлами"
"Требования к изображениям","Работа с файлами"
"Требования к YML-файлу и способы формирования YML прайс-листа","Работа с файлами"
"Структура YML файла, его основные блоки","Работа с файлами"
"Элемент categories","Работа с файлами"
"Элемент offers","Работа с файлами"
"Элемент delivery-options","Работа с файлами"
"Элемент picture","Работа с файлами"
"Элемент param","Работа с файлами"
"XSD-схема для массовой загрузки оферт","Работа с файлами"
"Формирование XSD-схемы","Работа с файлами"
"Описание типов данных, используемых при определении полей документов","Работа с файлами"
"Справочники Портала поставщиков","Просмотр информации"
"Состав элемента, входящего в shop","Работа с файлами"
"Элемент currencies","Работа с файлами"
"Загрузка прайс-листа в Портал поставщиков","Работа с файлами"
"Публикация шаблона","Работа с шаблонами"
"Редактирование шаблона, удаление шаблона","Работа с шаблонами"
"Поиск шаблонов","Работа с шаблонами"
"Новая версия опубликованного шаблона","Работа с шаблонами"
"Отправка шаблона в архив","Работа с шаблонами"
"Создание нового шаблона","Работа с шаблонами"
"Загрузка документа","Работа с шаблонами"
"Подготовка шаблона документа","Работа с шаблонами"
"Подготовка шаблона документа в MS Word","Работа с шаблонами"
"Загрузка шаблона документа","Работа с шаблонами"
"Проверка шаблона","Работа с шаблонами"
"Ограничения по способам закупок на отдельные виды товаров, работ, услуг","Создание закупки"
"Публикация закупки от имени Заказчика Уполномоченным органом","Создание закупки"
"Массовое удаление или отправка в архив оферт","Редактирование оферты/СТЕ"
"Прикрепление проекта контракта к одной или нескольким офертам","Редактирование оферты/СТЕ"
"Регистрация и формирование документов","Электронный документооборот"
"Проверка записи в реестре недобросовестных поставщиков (подрядчиков, исполнителей)","Управление пользователями"
"Заполнение формы жалобы о необоснованной блокировке","Управление пользователями"
"Получение решения арбитражной комиссии по жалобе","Управление пользователями"
"Страница закупки по потребностям","Просмотр информации"
"Создание и публикация оферты по результатам котировочной сессии","Редактирование оферты/СТЕ"
"Создание нового пользователя организации","Управление пользователями"
"Профиль компании","Просмотр информации"
"Заявка на изменение сведений о компании","Регистрация организации"
"Просмотр и поиск документов в разделе ""Мои документы""","Просмотр информации"
"Каталог товаров (СТЕ)","Просмотр информации"
"Предложения","Просмотр информации"
"Создание заявки на прямую закупку","Прямая закупка"
"Выгрузка протокола по потребности","Создание закупки"
"Раздел ""Мои заявки""","Просмотр информации"
"В каких случаях право может перейти следующему за победителем участнику котировочной сессии","Участие в закупках"
"Добавление файла с техническим заданием в карточку котировочной сессии","Участие в закупках"
"Могут ли отличаться объем/характеристики в спецификации и размещенной документации в котировочной сессии?","Участие в закупках"
"В каких случаях победа переходит ко второму участнику котировочной сессии?","Участие в закупках"
"Как осуществляется прямая закупка на Портале поставщиков?","Прямая закупка"
"Контракт подписан, но в региональной системе не отображен","Техническая ошибка"
"Что делать, если не отображаются подписи в заключенном контракте?","Техническая ошибка"
"Как создать котировочную сессию для региональных заказчиков, работающих напрямую на Портале поставщиков?","Создание закупки"
"Какой срок рассмотрения заявок на создание новой позиции СТЕ или внесение изменений в действующую позицию СТЕ?","Редактирование оферты/СТЕ"
"Кто может быть поставщиком на Портале поставщиков?","Регистрация организации"
"Сколько оферт можно подписать за один раз?","Редактирование оферты/СТЕ"
"Как понять была ли совершена ставка от организации?","Участие в закупках"
"Почему нет возможности выбора необходимого количества продукции при формировании УПД по контракту, имеющему электронное исполнение через оператора ЭДО Калуга Астрал?","Электронный документооборот"
"Какие оферты отображаются у заказчика, работающего через Портал поставщиков?","Просмотр информации об оферте"
"Почему у заказчика не отображаются оферта по результатам котировочной сессии?","Техническая ошибка"
"Правила заполнения полей статистических кодов ОКТМО и ОКАТО при подаче заявки на регистрацию/изменение данных компании на Портале поставщиков","Регистрация организации"
"Как распечатать сведения об оферте?","Просмотр информации об оферте"
"Как в УПД по контракту, имеющему электронное исполнение через ГИС ЕИС, заполнить строку 5а?","Электронный документооборот"
"Как обновить сведения о подписантах в Исполнении контрактов, электронно актируемых через ЕИС","Электронный документооборот"
"Требования к рабочему месту пользователя уполномоченного органа","Технические вопросы"
"Требования к  программному и техническому обеспечению и уровню подготовки пользователя","Технические вопросы"
"Как загрузить МЧД в профиль пользователя?","Авторизация"
"Какого формата должна быть МЧД?","Авторизация"
"Нужно ли прикладывать МЧД при подписании документов физическим лицом?","Авторизация"
"Нужно ли мне прикреплять свою МЧД, если я генеральный директор фирмы и у меня своя ЭП?","Авторизация"
"Нужно ли мне прикреплять свою МЧД, если я индивидуальный предприниматель и у меня своя ЭЦП?","Авторизация"
"Нужно ли при формировании оферты, подписании контракта и УПД прикреплять МЧД?","Авторизация"
"Нужно ли срочно выпускать новую квалифицированную электронную подпись без МЧД?","Авторизация"
"Нужно ли срочно перевыпускать квалифицированную электронную подпись с МЧД, если есть действующая?","Авторизация"
"Что такое МЧД?","Авторизация"
"Новая статья про котировочные сессии 1","Участие в закупках"
"Как добавить фото или изображение в профиль пользователя?","Просмотр информации"
"Как узнать причину отклонения заявки на новую позицию СТЕ?","Редактирование оферты/СТЕ"
"Регистрация пользователя без электронной подписи","Регистрация организации"
"Как изменить электронную подпись","Авторизация"
"Как зарегистрироваться на Портале поставщиков?","Регистрация организации"
"Регистрация пользователя с помощью электронной подписи","Регистрация организации"
"При регистрации возникает ошибка ""Этот логин уже используется другим пользователем. Пожалуйста, выберите другой""","Техническая ошибка"
"Как регистрировать филиалы, представительства и иные обособленные подразделения?","Регистрация организации"
"Как прикрепить или изменить электронную подпись?","Авторизация"
"При прикреплении электронной подписи возникает ошибка ""Этот сертификат уже используется другим пользователем""","Техническая ошибка"
"При прикреплении электронной подписи возникает ошибка ""Этот сертификат уже используются другим пользователем""","Техническая ошибка"
"Как удалить электронную подпись?","Авторизация"
"Как получить статус производителя?","Регистрация организации"
"Как проверить подлинность сертификата электронной подписи?","Авторизация"
"Какой пароль вводить при смене электронной подписи?","Авторизация"
"Как произвести настройку плагина КРИПТОПРО?","Технические вопросы"
"Нужна ли МЧД руководителю, генеральному директору или директору?","Авторизация"
"Как заполнить раздел «Контактная информация» в профиле компании в случае отсутствия сайта?","Регистрация организации"
"Как заполнить раздел «Статистические коды» при подаче заявки на регистрацию компании?","Регистрация организации"
"Как заполнить поля с адресом при подаче заявки на регистрацию компании?","Регистрация организации"
"При заполнении заявки на регистрацию пользователя отсутствует поле ""Контактный телефон""","Техническая ошибка"
"При подаче заявки на регистрацию компании возникает ошибка «Не заполнены поля «Банковский идентификационный код» и «Расчетный счет»","Техническая ошибка"
"Почему рядом с иконкой личного кабинета отображается  фраза «Есть ограничения»?","Уведомления"
"Как войти на Портал поставщиков по логину и паролю?","Авторизация"
"Как войти на Портал поставщиков после смены владельца сертификата электронной подписи?","Авторизация"
"Почему появляется капча?","Технические вопросы"
"Как восстановить доступ к личному кабинету на Портале поставщиков?","Авторизация"
"Не приходит временный пароль","Техническая ошибка"
"Не приходит временный пароль для восстановления доступа к личному кабинету","Техническая ошибка"
"Авторизация на Портале поставщиков с помощью учетной записи на mos.ru","Авторизация"
"При авторизации по электронной подписи возникает ошибка: «Ошибка вычисления подписи»","Техническая ошибка"
"При авторизации по электронной подписи возникает ошибка «Нет установленных сертификатов»","Техническая ошибка"
"При авторизации по электронной подписи возникает ошибка: «Не найден пользователь с указанным сертификатом»","Техническая ошибка"
"При смене электронной почты появляется ошибка ""Этот E-mail уже используется другим пользователем. Пожалуйста, выберите другой""","Техническая ошибка"
"Как войти на Портал поставщиков по электронной подписи?","Авторизация"
"Нужна ли МЧД директору филиала?","Авторизация"
"Нужна ли МЧД физическому лицу?","Авторизация"
"Нужна ли МЧД индивидуальному предпринимателю?","Авторизация"
"Где и как сформировать МЧД?","Авторизация"
"Какие полномочия должны быть в МЧД для работы на Портале?","Авторизация"
"При каких действиях на Портале поставщиков требуется МЧД и кому?","Авторизация"
"Что должна содержать МЧД?","Авторизация"
"Какие отличия между сертификатами электронной подписи физического, юридического лица, а также индивидуального предпринимателя?","Авторизация"
"Сроки и основания блокировки на Портале поставщиков","Управление пользователями"
"Если поставщик заблокирован на Портале поставщиков, будет ли он внесен в реестр недобросовестных поставщиков?","Управление пользователями"
"Как проверить причину блокировки личного кабинета?","Управление пользователями"
"Как понять кем произведена блокировка?","Управление пользователями"
"Может ли поставщик, заблокированный на Портале поставщиков, выполнять ранее возникшие  обязательства (подписывать оферты и заключать контракты)?","Управление пользователями"
"Как обжаловать блокировку на Портале поставщиков?","Управление пользователями"
"Что делать, если срок блокировки истек, а личный кабинет заблокирован?","Управление пользователями"
"Как изменить должность пользователя?","Управление пользователями"
"Как узнать, заблокирован ли поставщик на Портале поставщиков?","Управление пользователями"
"Как скорректировать ФИО пользователя?","Управление пользователями"
"Как добавить фото или изображение в профиль пользователя?","Просмотр информации"
"Как изменить наименование организации на Портале поставщиков?","Регистрация организации"
"Как изменить контактную информацию организации на Портале поставщиков?","Регистрация организации"
"Как изменить юридической адрес организации на Портале поставщиков?","Регистрация организации"
"Как изменить банковские реквизиты организации или добавить новые на Портале поставщиков?","Регистрация организации"
"Как в банковских реквизитах установить параметр «Счет используется в контрактной системе»?","Регистрация организации"
"Как изменить сведения о компании?","Регистрация организации"
"Какие полномочия должны быть у пользователя для подачи заявки на изменение данных?","Управление пользователями"
"Как объединить профили организации?","Управление пользователями"
"Как перенести пользователя из одного профиля в другой?","Управление пользователями"
"При авторизации по электронной подписи появляется ошибка: «Сертификат не зарегистрирован»","Техническая ошибка"
"Авторизация на Портале поставщиков, используя учетную запись на Едином портале торгов Московской области ЕАСУЗ","Авторизация"
"Как изменить электронную почту пользователя?","Управление пользователями"
"Как сменить пароль?","Авторизация"
"Авторизация на Портале поставщиков через ВТБ коннект","Авторизация"
"Как создать закупку из корзины?","Создание закупки"
"Как проверить статус обращения в службу технической поддержки?","Технические вопросы"
"Как проверить статус обращения, направленного в службу технической поддержки?","Технические вопросы"
"Как создать нового пользователя?","Управление пользователями"
"Как предоставить полномочия пользователю?","Управление пользователями"
"Кто является администратором компании?","Управление пользователями"
"Как удалить уведомления из личного кабинета?","Уведомления"
"Как отключить уведомления, поступающие в личный кабинет?","Уведомления"
"Как настроить уведомления, чтобы получать приглашения к участию в предстоящих котировочных сессиях и других закупках?","Уведомления"
"Не поступают уведомления в личный кабинет","Техническая ошибка"
"Как посмотреть полный текст уведомления?","Уведомления"
"Что такое котировочная сессия?","Участие в закупках"
"Кто может принять участие в котировочных сессиях?","Участие в закупках"
"Могут ли пользователи Портала поставщиков посмотреть данные об участниках котировочной сессии?","Участие в закупках"
"Кто является победителем котировочной сессии?","Участие в закупках"
"В каких случаях победа переходит к следующему за победителем участнику котировочной сессии?","Участие в закупках"
"Какие дальнейшие действия у поставщика после победы в котировочной сессии?","Участие в закупках"
"Почему победа в котировочной сессии перешла другому участнику?","Участие в закупках"
"Почему не получается сделать ставку в активной котировочной сессии?","Участие в закупках"
"Можно ли отменить ставку в активной  котировочной сессии?","Участие в закупках"
"Как включить функциональность «Автоторг»?","Участие в закупках"
"Почему по окончании котировочной сессии появился другой победитель, если наша ставка лучшая?","Участие в закупках"
"При подписании оферты возникает ошибка","Техническая ошибка"
"Как подписать массово все оферты по итогам котировочных сессий?","Редактирование оферты/СТЕ"
"Что означает статус в котировочной сессии «Идет обработка ставок. Возможна переторжка»?","Участие в закупках"
"Почему статус котировочной сессии “Снята с публикации”?","Участие в закупках"
"Почему статус котировочной сессии изменился на «Не состоялась»?","Участие в закупках"
"Почему не отображается страница активной котировочной сессии?","Техническая ошибка"
"Почему котировочная сессия продолжается после установленного срока ее окончания?","Участие в закупках"
"Окончание срока проведения котировочной сессии, подписание оферты и контракта выпадает на выходной день","Участие в закупках"
"Как понять объявлена ли ставка участником котировочной сессии?","Участие в закупках"
"Оферты подписаны, но проект контракта не поступил в личный кабинет поставщику. Что делать?","Техническая ошибка"
"Порядок действий участника котировочной сессии в случае победы","Участие в закупках"
"Последствия неподписания победителем оферты или контракта (договора) по итогам котировочной сессии","Участие в закупках"
"Как найти котировочную сессию, в которой поставщик принимал участие?","Поиск информации"
"Что такое совместная котировочная сессия и чем она удобна?","Участие в закупках"
"Что такое закупка по потребностям?","Участие в закупках"
"Как определяется победитель закупки по потребностям?","Участие в закупках"
"Может ли поставщик отозвать свою оферту в закупке по потребностям?","Участие в закупках"
"Не получается подать оферту (ценовое предложение) в закупке по потребностям","Техническая ошибка"
"Появляется ошибка при подаче поставщиком предложения в закупке по потребности","Техническая ошибка"
"Не публикуется оферта (ценовое предложение) в закупке по потребности","Техническая ошибка"
"Как найти интересующую закупку по потребностям?","Поиск информации"
"Почему при подачи ценового предложения в закупке по потребности перебрасывает  на другой сайт?","Техническая ошибка"
"Какую цену необходимо указывать поставщику при подаче ценового предложения в закупке по потребности?","Участие в закупках"
"Как произвести настройку уведомлений в личном кабинете?","Уведомления"
"Как удалить, заблокировать или разблокировать пользователя на Портале поставщиков?","Управление пользователями"
"Поля в заявке на создание СТЕ","Редактирование оферты/СТЕ"
"Какие изображения должны быть в СТЕ?","Редактирование оферты/СТЕ"
"Как заполнять наименование СТЕ?","Редактирование оферты/СТЕ"
